text,label,source
datetime string do not take decimal fraction into account,ops,hf_github_issues
Investigate performance,research,synthetic_en
Nowa funkcja: filtr backlogu,development,synthetic_pl
feature request,development,hf_github_issues
Zgłoszenie klienta dotyczące tablicy sprintu,support,synthetic_pl
Fix bug in auth flow,support,synthetic_en
Kampania marketingowa na blog,marketing,synthetic_pl
Update documentation for README,ops,synthetic_en
Partnership outreach: klientów enterprise,outreach,synthetic_en
Zaimplementuj tryb ciemny,development,synthetic_pl
Resolve crash in kalendarza,support,synthetic_en
Rozeznanie rynku: konkurencji,research,synthetic_pl
don t grab theme icon for script,development,hf_github_issues
Cold outreach to 20 hotels,outreach,synthetic_en
Implement tryb ciemny,development,synthetic_en
have parent builder exception message param fix,development,hf_github_issues
Analysis of modelu cenowego,research,synthetic_en
documentation for neo4j mention nodeentityscan not entityscan,ops,hf_github_issues
Grafika i layout dla dashboard mockup,design,synthetic_pl
Setup Next.js to v15,ops,synthetic_en
Add filtr backlogu to the app,development,synthetic_en
Plan marketing campaign on kampanię SEO,marketing,synthetic_en
Run promo on kampanię SEO,marketing,synthetic_en
Hotfix: zepsute realtime,support,synthetic_pl
fix may be use unitialized warning in render pass create and draw list insert clear region,development,hf_github_issues
Wdrożenie Next.js do v15,ops,synthetic_pl
Prepare press release about widok Gantt,marketing,synthetic_en
create next app should use npm by default when call with npx,support,hf_github_issues
Zgłoszenie klienta dotyczące realtime,support,synthetic_pl
gap between video when play fragmented mp4 file in concatenatingmediasource,development,hf_github_issues
nhl error unable to download video datum,support,hf_github_issues
Zgłoszenie klienta dotyczące login,support,synthetic_pl
Nowa funkcja: Gantt view,development,synthetic_pl
Write blog post about frameworka,marketing,synthetic_en
Prepare press release about CSV export,marketing,synthetic_en
autoupdate generator script userdef cache dir,development,hf_github_issues
make some enhancement to the pot generation,development,hf_github_issues
update the minimum size of label if necessary when resize,support,hf_github_issues
Rozeznanie rynku: the pricing model,research,synthetic_pl
Konfiguracja Next.js to v15,ops,synthetic_pl
Resolve crash in formularza,support,synthetic_en
